FERTIL,YIELD,,YIELDM,VARIETY,,SEX,DBH,FLOWERS
1,6.27,,25.12,1,,2,174,234
1,5.36,,17.25,1,,1,171,110
1,6.39,,26.42,1,,2,212,512
1,4.85,,16.08,1,,1,187,133
1,5.99,,22.15,1,,2,227,1107
1,7.14,,15.92,1,,1,274,624
1,5.08,,40.25,2,,2,86,8
1,4.07,,35.25,2,,2,161,333
1,4.35,,31.98,2,,1,285,637
1,4.95,,36.52,2,,1,182,225
2,3.07,,43.32,2,,2,225,512
2,3.29,,37.1,2,,1,133,47
2,4.04,,18.3,3,,2,154,164
2,4.19,,22.6,3,,2,71,1
2,3.41,,25.9,3,,1,133,36
2,3.75,,15.05,3,,1,267,524
2,4.87,,28.05,4,,2,166,198
2,3.94,,28.55,4,,2,145,225
2,6.28,,33.2,4,,2,207,548
2,3.15,,31.68,4,,1,216,272
3,4.04,,30.32,4,,2,157,164
3,3.79,,27.58,4,,2,87,5
3,4.56,,,,,1,185,133
3,4.55,,,,,1,183,133
3,4.55,,,,,2,193,419
3,4.53,,,,,1,264,442
3,3.53,,,,,1,83,3
3,3.71,,,,,2,300,1482
3,7.00,,,,,1,242,333
3,4.61,,,,,2,316,1138
,,,,,,2,217,561
,,,,,,1,235,488
,,,,,,2,189,282
,,,,,,1,242,536
,,,,,,2,84,11
,,,,,,2,135,148
,,,,,,1,267,512
,,,,,,2,122,70
,,,,,,2,280,1107
,,,,,,2,295,941
,,,,,,2,139,89
,,,,,,2,165,181
,,,,,,2,81,8
,,,,,,1,190,173
,,,,,,2,68,1
,,,,,,2,314,1091
,,,,,,1,284,561
,,,,,,2,77,3
,,,,,,1,228,312
,,,,,,2,282,1398